"Area","List","Item","Value"
"Friendly field label","Guided AI Labs - Intake Register","Title","Intake summary"
"Friendly field label","Guided AI Labs - Intake Register","RequesterName","Person name"
"Friendly field label","Guided AI Labs - Intake Register","RequesterEmail","Email"
"Friendly field label","Guided AI Labs - Intake Register","IntakeClass","Signal type"
"Friendly field label","Guided AI Labs - Intake Register","NextAction","What should happen next?"
"Friendly field label","Guided AI Labs - Intake Register","AgentNotes","Context / notes"
"Friendly field label","Guided AI Labs - Intake Register","HumanApprovalRequired","Needs Adam review"
"Form section","Guided AI Labs - Intake Register","Quick intake","Title; RequesterName; RequesterEmail; Organization"
"Form section","Guided AI Labs - Intake Register","Triage","IntakeClass; Priority; AgentNotes; NextAction; HumanApprovalRequired"
"Hidden system field","Guided AI Labs - Intake Register","SourceMailbox","Retained as system/source metadata; not shown in the first business-development intake pass"
"Hidden system field","Guided AI Labs - Intake Register","SourceMessageId","Retained as system/source metadata; not shown in the first business-development intake pass"
"Hidden system field","Guided AI Labs - Intake Register","ReceivedDate","Retained as system/source metadata; not shown in the first business-development intake pass"
"Hidden system field","Guided AI Labs - Intake Register","IntakeStatus","Retained as system/source metadata; not shown in the first business-development intake pass"
"Hidden system field","Guided AI Labs - Intake Register","ItemOwner","Retained as system/source metadata; not shown in the first business-development intake pass"
"Hidden system field","Guided AI Labs - Intake Register","DurableHome","Retained as system/source metadata; not shown in the first business-development intake pass"
"Hidden system field","Guided AI Labs - Intake Register","PlannerTaskUrl","Retained as system/source metadata; not shown in the first business-development intake pass"
"Hidden system field","Guided AI Labs - Intake Register","CentralOSLink","Retained as system/source metadata; not shown in the first business-development intake pass"
"Hidden system field","Guided AI Labs - Intake Register","GraphNodeId","Retained as system/source metadata; not shown in the first business-development intake pass"
"Hidden system field","Guided AI Labs - Intake Register","AgentConfidence","Retained as system/source metadata; not shown in the first business-development intake pass"
