"List","Field","Exists","Required","ShowInNewForm","ShowInEditForm","State"
"CRM - New Signals","Title","True","True","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","PersonName","True","False","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","PersonEmail","True","False","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","OrganizationName","True","False","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","SignalType","True","False","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","IntakeSource","False","","","","Missing"
"CRM - New Signals","Priority","True","False","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","NeedSummary","True","False","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","SourceText","True","False","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","NextAction","True","False","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","FollowUpDueDate","True","False","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","RelatedLink","True","False","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","SignalStatus","True","False","DefaultTrue","DefaultTrue","Present"
"CRM - New Signals","ItemOwner","True","False","DefaultTrue","DefaultTrue","Present"
