"FormId","FormTitle","Step","Action","TargetList","Notes"
"gal-discovery-intake","Guided AI Labs - Discovery Intake","1","Microsoft Forms - When a new response is submitted","Guided AI Labs - Intake Register","Select this form as the trigger."
"gal-discovery-intake","Guided AI Labs - Discovery Intake","2","Microsoft Forms - Get response details","Guided AI Labs - Intake Register","Use the response id from the trigger."
"gal-discovery-intake","Guided AI Labs - Discovery Intake","3","SharePoint - Create item in target Microsoft List","Guided AI Labs - Intake Register","Map questions and defaults into the target List."
"gal-discovery-intake","Guided AI Labs - Discovery Intake","4","Condition - if severity/urgency/follow-up requires action","Guided AI Labs - Intake Register","Create a Planner task only when urgency is high, requested timeline is within 30 days, or Adam marks follow-up required."
"gal-discovery-intake","Guided AI Labs - Discovery Intake","5","Planner - Create task only when the condition is true","Guided AI Labs - Intake Register","System.Object[]"
"gal-discovery-intake","Guided AI Labs - Discovery Intake","6","Microsoft Teams - Post message only for meaningful notifications","Guided AI Labs - Intake Register","Post a short notice to the Intake channel when a response is copied into the Intake Register."
"gal-discovery-intake","Guided AI Labs - Discovery Intake","7","SharePoint - Update created List item with PlannerTaskUrl when a task was created","Guided AI Labs - Intake Register","Store PlannerTaskUrl after task creation when available."
"clt-support-request","Change Leadership Tools - Support Request","1","Microsoft Forms - When a new response is submitted","Change Leadership Tools - Support Register","Select this form as the trigger."
"clt-support-request","Change Leadership Tools - Support Request","2","Microsoft Forms - Get response details","Change Leadership Tools - Support Register","Use the response id from the trigger."
"clt-support-request","Change Leadership Tools - Support Request","3","SharePoint - Create item in target Microsoft List","Change Leadership Tools - Support Register","Map questions and defaults into the target List."
"clt-support-request","Change Leadership Tools - Support Request","4","Condition - if severity/urgency/follow-up requires action","Change Leadership Tools - Support Register","Create a Planner task for Blocking/High severity or unresolved access/payment issues."
"clt-support-request","Change Leadership Tools - Support Request","5","Planner - Create task only when the condition is true","Change Leadership Tools - Support Register","System.Object[]"
"clt-support-request","Change Leadership Tools - Support Request","6","Microsoft Teams - Post message only for meaningful notifications","Change Leadership Tools - Support Register","Post a short notice to the Intake channel or future Support channel when severity is High or Blocking."
"clt-support-request","Change Leadership Tools - Support Request","7","SharePoint - Update created List item with PlannerTaskUrl when a task was created","Change Leadership Tools - Support Register","Store PlannerTaskUrl after task creation when available."
"gal-session-feedback","Guided AI Labs - Session Feedback","1","Microsoft Forms - When a new response is submitted","Guided AI Labs - Intake Register","Select this form as the trigger."
"gal-session-feedback","Guided AI Labs - Session Feedback","2","Microsoft Forms - Get response details","Guided AI Labs - Intake Register","Use the response id from the trigger."
"gal-session-feedback","Guided AI Labs - Session Feedback","3","SharePoint - Create item in target Microsoft List","Guided AI Labs - Intake Register","Map questions and defaults into the target List."
"gal-session-feedback","Guided AI Labs - Session Feedback","4","Condition - if severity/urgency/follow-up requires action","Guided AI Labs - Intake Register","Create a Planner task only for low scores, explicit follow-up requests, or reusable-method candidates."
"gal-session-feedback","Guided AI Labs - Session Feedback","5","Planner - Create task only when the condition is true","Guided AI Labs - Intake Register","System.Object[]"
"gal-session-feedback","Guided AI Labs - Session Feedback","6","Microsoft Teams - Post message only for meaningful notifications","Guided AI Labs - Intake Register","Post a short notice to Methods and IP or Intake only when follow-up is required."
"gal-session-feedback","Guided AI Labs - Session Feedback","7","SharePoint - Update created List item with PlannerTaskUrl when a task was created","Guided AI Labs - Intake Register","Store PlannerTaskUrl after task creation when available."
"gal-team-retro","Guided AI Labs - Team Retrospective","1","Microsoft Forms - When a new response is submitted","Decision Register","Select this form as the trigger."
"gal-team-retro","Guided AI Labs - Team Retrospective","2","Microsoft Forms - Get response details","Decision Register","Use the response id from the trigger."
"gal-team-retro","Guided AI Labs - Team Retrospective","3","SharePoint - Create item in target Microsoft List","Decision Register","Map questions and defaults into the target List."
"gal-team-retro","Guided AI Labs - Team Retrospective","4","Condition - if severity/urgency/follow-up requires action","Decision Register","Create Planner tasks only for committed improvements with an owner."
"gal-team-retro","Guided AI Labs - Team Retrospective","5","Planner - Create task only when the condition is true","Decision Register","System.Object[]"
"gal-team-retro","Guided AI Labs - Team Retrospective","6","Microsoft Teams - Post message only for meaningful notifications","Decision Register","Post decision candidates to the Agent Setup or Methods and IP channel for Adam review."
"gal-team-retro","Guided AI Labs - Team Retrospective","7","SharePoint - Update created List item with PlannerTaskUrl when a task was created","Decision Register","Store PlannerTaskUrl after task creation when available."
