"FormId","FormTitle","Question","Type","Required","Choices","MapsTo","TargetList","TargetSitePath"
"gal-discovery-intake","Guided AI Labs - Discovery Intake","Your name","text","True","","RequesterName","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-discovery-intake","Guided AI Labs - Discovery Intake","Email address","text","True","","RequesterEmail","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-discovery-intake","Guided AI Labs - Discovery Intake","Organization","text","False","","Organization","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-discovery-intake","Guided AI Labs - Discovery Intake","What are you trying to improve or build?","longText","True","","AgentNotes","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-discovery-intake","Guided AI Labs - Discovery Intake","Which kind of signal is this?","choice","True","new-inquiry; client-readiness; scheduling; decision-or-commitment; knowledge-candidate","IntakeClass","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-discovery-intake","Guided AI Labs - Discovery Intake","Priority","choice","True","Low; Normal; High; Urgent","Priority","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-discovery-intake","Guided AI Labs - Discovery Intake","What would make this successful?","longText","False","","NextAction","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-discovery-intake","Guided AI Labs - Discovery Intake","May we contact you about this request?","choice","True","Yes; No","HumanApprovalRequired","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"clt-support-request","Change Leadership Tools - Support Request","Your name","text","True","","RequesterName","Change Leadership Tools - Support Register","/sites/ChangeLeadershipTools"
"clt-support-request","Change Leadership Tools - Support Request","Email address","text","True","","RequesterEmail","Change Leadership Tools - Support Register","/sites/ChangeLeadershipTools"
"clt-support-request","Change Leadership Tools - Support Request","Organization","text","False","","Organization","Change Leadership Tools - Support Register","/sites/ChangeLeadershipTools"
"clt-support-request","Change Leadership Tools - Support Request","Product area","choice","True","Site; Download; Account; Document/tool; Payment; Other","ProductArea","Change Leadership Tools - Support Register","/sites/ChangeLeadershipTools"
"clt-support-request","Change Leadership Tools - Support Request","Issue type","choice","True","Question; Bug; Access issue; Feedback; Refund/billing; Other","IssueType","Change Leadership Tools - Support Register","/sites/ChangeLeadershipTools"
"clt-support-request","Change Leadership Tools - Support Request","Severity","choice","True","Low; Normal; High; Blocking","Severity","Change Leadership Tools - Support Register","/sites/ChangeLeadershipTools"
"clt-support-request","Change Leadership Tools - Support Request","What happened?","longText","True","","AgentNotes","Change Leadership Tools - Support Register","/sites/ChangeLeadershipTools"
"clt-support-request","Change Leadership Tools - Support Request","What outcome are you looking for?","longText","False","","NextAction","Change Leadership Tools - Support Register","/sites/ChangeLeadershipTools"
"gal-session-feedback","Guided AI Labs - Session Feedback","Your name","text","False","","RequesterName","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-session-feedback","Guided AI Labs - Session Feedback","Email address","text","False","","RequesterEmail","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-session-feedback","Guided AI Labs - Session Feedback","Organization","text","False","","Organization","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-session-feedback","Guided AI Labs - Session Feedback","Session or workshop name","text","True","","Title","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-session-feedback","Guided AI Labs - Session Feedback","How useful was this session?","rating","True","","AgentConfidence","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-session-feedback","Guided AI Labs - Session Feedback","What was most useful?","longText","False","","AgentNotes","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-session-feedback","Guided AI Labs - Session Feedback","What should we improve?","longText","False","","NextAction","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-session-feedback","Guided AI Labs - Session Feedback","Would you like follow-up?","choice","True","Yes; No","HumanApprovalRequired","Guided AI Labs - Intake Register","/sites/GuidedAILabs"
"gal-team-retro","Guided AI Labs - Team Retrospective","What worked well?","longText","True","","Rationale","Decision Register","/sites/GuidedAILabs"
"gal-team-retro","Guided AI Labs - Team Retrospective","What should change?","longText","True","","Decision","Decision Register","/sites/GuidedAILabs"
"gal-team-retro","Guided AI Labs - Team Retrospective","Is this a decision, task, or idea?","choice","True","decision candidate; task; idea; risk","Rationale","Decision Register","/sites/GuidedAILabs"
"gal-team-retro","Guided AI Labs - Team Retrospective","Who should own the next step?","text","False","","Rationale","Decision Register","/sites/GuidedAILabs"
"gal-team-retro","Guided AI Labs - Team Retrospective","When should we revisit this?","date","False","","RevisitDate","Decision Register","/sites/GuidedAILabs"
