"Group","Position","Link"
"Start Here","1","Home"
"Start Here","2","How To Use This Workspace"
"Start Here","3","Operating Model"
"Operating Cockpit","1","Intake"
"Operating Cockpit","2","Active Delivery"
"Operating Cockpit","3","Decisions"
"Operating Cockpit","4","Action Log"
"Client Delivery","1","Client Discovery"
"Client Delivery","2","Client Workspace Pattern"
"Client Delivery","3","Handoff Packets"
"Methods and IP","1","Templates"
"Methods and IP","2","Playbooks"
"Methods and IP","3","Training Paths"
"Methods and IP","4","Reusable Assets"
"AI and Automation","1","Agent Setup"
"AI and Automation","2","Automation Backlog"
"AI and Automation","3","Tool Permission Review"
"Records and Evidence","1","Decision Register"
"Records and Evidence","2","Agent Action Log"
"Records and Evidence","3","Readiness Evidence"
"Governance","1","Access Model"
"Governance","2","External Sharing Rules"
"Governance","3","App Grants"
"Governance","4","Exceptions"
"Archive","1","Completed Work"
"Archive","2","Historical Evidence"
