"Group","Link","ExpectedUrl","Status","ActualUrl"
"Start Here","Home","/sites/GuidedAILabs/SitePages/Guided-AI-Labs-Home.aspx","Present","/sites/GuidedAILabs/SitePages/Guided-AI-Labs-Home.aspx"
"Start Here","How To Use This Workspace","/sites/GuidedAILabs/SitePages/How-To-Use-This-Workspace.aspx","Present","/sites/GuidedAILabs/SitePages/How-To-Use-This-Workspace.aspx"
"Start Here","Operating Model","","Deferred",""
"Operating Cockpit","Intake","/sites/GuidedAILabs/SitePages/Intake.aspx","Present","/sites/GuidedAILabs/SitePages/Intake.aspx"
"Operating Cockpit","Active Delivery","/sites/GuidedAILabs/SitePages/Active-Delivery.aspx","Present","/sites/GuidedAILabs/SitePages/Active-Delivery.aspx"
"Operating Cockpit","Decisions","/sites/GuidedAILabs/SitePages/Decisions.aspx","Present","/sites/GuidedAILabs/SitePages/Decisions.aspx"
"Operating Cockpit","Action Log","/sites/GuidedAILabs/Lists/Agent%20Action%20Log/AllItems.aspx","Present","/sites/GuidedAILabs/Lists/Agent Action Log/AllItems.aspx"
"Client Delivery","Client Discovery","","Deferred",""
"Client Delivery","Client Workspace Pattern","/sites/GuidedAILabs/SitePages/Client-Workspace-Pattern.aspx","Present","/sites/GuidedAILabs/SitePages/Client-Workspace-Pattern.aspx"
"Client Delivery","Handoff Packets","","Deferred",""
"Methods and IP","Templates","","Deferred",""
"Methods and IP","Playbooks","","Deferred",""
"Methods and IP","Training Paths","","Deferred",""
"Methods and IP","Reusable Assets","","Deferred",""
"AI and Automation","Agent Setup","","Deferred",""
"AI and Automation","Automation Backlog","","Deferred",""
"AI and Automation","Tool Permission Review","","Deferred",""
"Records and Evidence","Decision Register","/sites/GuidedAILabs/Lists/Decision%20Register/AllItems.aspx","Present","/sites/GuidedAILabs/Lists/Decision Register/AllItems.aspx"
"Records and Evidence","Agent Action Log","/sites/GuidedAILabs/Lists/Agent%20Action%20Log/AllItems.aspx","Present","/sites/GuidedAILabs/Lists/Agent Action Log/AllItems.aspx"
"Records and Evidence","Readiness Evidence","","Deferred",""
"Governance","Access Model","","Deferred",""
"Governance","External Sharing Rules","","Deferred",""
"Governance","App Grants","","Deferred",""
"Governance","Exceptions","","Deferred",""
"Archive","Completed Work","","Deferred",""
"Archive","Historical Evidence","","Deferred",""
