"List","DisplayName","InternalName","Type","Required","Indexed","Choices","Default"
"CRM - Action Queue","RecordKey","RecordKey","Text","","","",""
"CRM - Action Queue","Owner","ItemOwner","User","","","",""
"CRM - Action Queue","ActionType","ActionType","Choice","","True","Follow-up; Proposal / Scope; Decision; Meeting prep; Meeting debrief; Delivery; Checklist; Relationship; Handoff; Admin","Follow-up"
"CRM - Action Queue","ActionStatus","ActionStatus","Choice","","True","Not started; In progress; Waiting on Adam; Waiting on client; Blocked; Complete; Cancelled","Not started"
"CRM - Action Queue","Priority","Priority","Choice","","True","Low; Normal; High; Urgent","Normal"
"CRM - Action Queue","DueDate","DueDate","DateTime","","True","",""
"CRM - Action Queue","CompletedDate","CompletedDate","DateTime","","","",""
"CRM - Action Queue","NextAction","NextAction","Note","","","",""
"CRM - Action Queue","Outcome","Outcome","Note","","","",""
"CRM - Action Queue","BlocksDecision","BlocksDecision","Boolean","","True","","0"
"CRM - Action Queue","BlocksGoLive","BlocksGoLive","Boolean","","True","","0"
"CRM - Action Queue","SourceSystem","SourceSystem","Choice","","","Manual; Intake Register; CRM Touchpoint; Meeting; Checklist; Agent Suggested; Other","Manual"
"CRM - Qualification","SignalSource","SignalSource","Choice","","True","Referral; Website; Direct outreach; Existing relationship; Partner; Event; Support signal; Internal idea; Other","Existing relationship"
"CRM - Qualification","QualificationStatus","QualificationStatus","Choice","","True","New; Researching; Qualified; Disqualified; Nurture; Proposal recommended; Converted","New"
"CRM - Qualification","FitScore","FitScore","Number","","True","",""
"CRM - Qualification","Urgency","Urgency","Choice","","True","Low; Medium; High; Immediate; Unknown","Unknown"
"CRM - Qualification","BudgetSignal","BudgetSignal","Choice","","","Confirmed; Likely; Unclear; No budget; Not applicable","Unclear"
"CRM - Qualification","AuthoritySignal","AuthoritySignal","Choice","","","Decision maker; Champion; Influencer; Unknown; No authority","Unknown"
"CRM - Qualification","NeedSummary","NeedSummary","Note","","","",""
"CRM - Qualification","RecommendedPackage","RecommendedPackage","Choice","","","Relationship Nurture; Readiness Snapshot; Operating Blueprint; Workspace Build; Guided Implementation; Operating Support; AI OS Integration; Handoff / Alumni",""
"CRM - Qualification","DisqualificationReason","DisqualificationReason","Choice","","","Not a fit; Too early; No budget; No authority; Unsupported need; Capacity constraint; Other",""
"CRM - Qualification","NextAction","NextAction","Note","","","",""
"CRM - Qualification","NextActionDueDate","NextActionDueDate","DateTime","","True","",""
"CRM - Qualification","Owner","ItemOwner","User","","","",""
"CRM - Meeting Notes","MeetingDate","MeetingDate","DateTime","","True","",""
"CRM - Meeting Notes","MeetingType","MeetingType","Choice","","True","Discovery; Proposal; Delivery; Health review; Training; Handoff; Internal; Other","Discovery"
"CRM - Meeting Notes","MeetingStatus","MeetingStatus","Choice","","True","Scheduled; Prep needed; Complete - debrief needed; Debrief complete; Cancelled","Scheduled"
"CRM - Meeting Notes","Agenda","Agenda","Note","","","",""
"CRM - Meeting Notes","Notes","Notes","Note","","","",""
"CRM - Meeting Notes","Commitments","Commitments","Note","","","",""
"CRM - Meeting Notes","Decisions","Decisions","Note","","","",""
"CRM - Meeting Notes","FollowUpRequired","FollowUpRequired","Boolean","","True","","0"
"CRM - Meeting Notes","FollowUpDueDate","FollowUpDueDate","DateTime","","True","",""
"CRM - Meeting Notes","Sentiment","Sentiment","Choice","","","Positive; Neutral; Concerned; Resistant; Unknown","Unknown"
"CRM - Meeting Notes","RelatedLink","RelatedLink","URL","","","",""
"CRM - Meeting Notes","Owner","ItemOwner","User","","","",""
"CRM - Artifacts","ArtifactType","ArtifactType","Choice","","True","Proposal; Scope; Blueprint; Workspace link; Evidence; Decision record; Training material; Handoff packet; Support note; Other","Evidence"
"CRM - Artifacts","ArtifactStatus","ArtifactStatus","Choice","","True","Draft; Ready for review; Shared; Accepted; Superseded; Archived","Draft"
"CRM - Artifacts","ArtifactLink","ArtifactLink","URL","","","",""
"CRM - Artifacts","VersionLabel","VersionLabel","Text","","","",""
"CRM - Artifacts","EvidenceDate","EvidenceDate","DateTime","","True","",""
"CRM - Artifacts","ReviewDueDate","ReviewDueDate","DateTime","","True","",""
"CRM - Artifacts","ApprovedForClientUse","ApprovedForClientUse","Boolean","","True","","0"
"CRM - Artifacts","Notes","Notes","Note","","","",""
"CRM - Artifacts","Owner","ItemOwner","User","","","",""
"CRM - Health Reviews","ReviewDate","ReviewDate","DateTime","","True","",""
"CRM - Health Reviews","NextReviewDate","NextReviewDate","DateTime","","True","",""
"CRM - Health Reviews","RelationshipHealth","RelationshipHealth","Choice","","True","Green; Yellow; Red; Unknown","Unknown"
"CRM - Health Reviews","DeliveryHealth","DeliveryHealth","Choice","","True","Green; Yellow; Red; Unknown; Not applicable","Unknown"
"CRM - Health Reviews","CommercialHealth","CommercialHealth","Choice","","True","Green; Yellow; Red; Unknown; Not applicable","Unknown"
"CRM - Health Reviews","HealthScore","HealthScore","Number","","True","",""
"CRM - Health Reviews","RenewalSignal","RenewalSignal","Choice","","","Strong; Likely; Unclear; At risk; Not applicable","Unclear"
"CRM - Health Reviews","ExpansionSignal","ExpansionSignal","Choice","","True","Strong; Possible; None; Unknown","Unknown"
"CRM - Health Reviews","RiskSummary","RiskSummary","Note","","","",""
"CRM - Health Reviews","WinSummary","WinSummary","Note","","","",""
"CRM - Health Reviews","NextAction","NextAction","Note","","","",""
"CRM - Health Reviews","Owner","ItemOwner","User","","","",""
