"List","Field","InternalName","ExpectedType","Exists","ActualType","Indexed","Status"
"CRM - Action Queue","RecordKey","RecordKey","Text","True","Text","False","Present"
"CRM - Action Queue","Owner","ItemOwner","User","True","User","False","Present"
"CRM - Action Queue","ActionType","ActionType","Choice","True","Choice","True","Present"
"CRM - Action Queue","ActionStatus","ActionStatus","Choice","True","Choice","True","Present"
"CRM - Action Queue","Priority","Priority","Choice","True","Choice","True","Present"
"CRM - Action Queue","DueDate","DueDate","DateTime","True","DateTime","True","Present"
"CRM - Action Queue","CompletedDate","CompletedDate","DateTime","True","DateTime","False","Present"
"CRM - Action Queue","NextAction","NextAction","Note","True","Note","False","Present"
"CRM - Action Queue","Outcome","Outcome","Note","True","Note","False","Present"
"CRM - Action Queue","BlocksDecision","BlocksDecision","Boolean","True","Boolean","True","Present"
"CRM - Action Queue","BlocksGoLive","BlocksGoLive","Boolean","True","Boolean","True","Present"
"CRM - Action Queue","SourceSystem","SourceSystem","Choice","True","Choice","False","Present"
"CRM - Qualification","SignalSource","SignalSource","Choice","True","Choice","True","Present"
"CRM - Qualification","QualificationStatus","QualificationStatus","Choice","True","Choice","True","Present"
"CRM - Qualification","FitScore","FitScore","Number","True","Number","True","Present"
"CRM - Qualification","Urgency","Urgency","Choice","True","Choice","True","Present"
"CRM - Qualification","BudgetSignal","BudgetSignal","Choice","True","Choice","False","Present"
"CRM - Qualification","AuthoritySignal","AuthoritySignal","Choice","True","Choice","False","Present"
"CRM - Qualification","NeedSummary","NeedSummary","Note","True","Note","False","Present"
"CRM - Qualification","RecommendedPackage","RecommendedPackage","Choice","True","Choice","False","Present"
"CRM - Qualification","DisqualificationReason","DisqualificationReason","Choice","True","Choice","False","Present"
"CRM - Qualification","NextAction","NextAction","Note","True","Note","False","Present"
"CRM - Qualification","NextActionDueDate","NextActionDueDate","DateTime","True","DateTime","True","Present"
"CRM - Qualification","Owner","ItemOwner","User","True","User","False","Present"
"CRM - Meeting Notes","MeetingDate","MeetingDate","DateTime","True","DateTime","True","Present"
"CRM - Meeting Notes","MeetingType","MeetingType","Choice","True","Choice","True","Present"
"CRM - Meeting Notes","MeetingStatus","MeetingStatus","Choice","True","Choice","True","Present"
"CRM - Meeting Notes","Agenda","Agenda","Note","True","Note","False","Present"
"CRM - Meeting Notes","Notes","Notes","Note","True","Note","False","Present"
"CRM - Meeting Notes","Commitments","Commitments","Note","True","Note","False","Present"
"CRM - Meeting Notes","Decisions","Decisions","Note","True","Note","False","Present"
"CRM - Meeting Notes","FollowUpRequired","FollowUpRequired","Boolean","True","Boolean","True","Present"
"CRM - Meeting Notes","FollowUpDueDate","FollowUpDueDate","DateTime","True","DateTime","True","Present"
"CRM - Meeting Notes","Sentiment","Sentiment","Choice","True","Choice","False","Present"
"CRM - Meeting Notes","RelatedLink","RelatedLink","URL","True","URL","False","Present"
"CRM - Meeting Notes","Owner","ItemOwner","User","True","User","False","Present"
"CRM - Artifacts","ArtifactType","ArtifactType","Choice","True","Choice","True","Present"
"CRM - Artifacts","ArtifactStatus","ArtifactStatus","Choice","True","Choice","True","Present"
"CRM - Artifacts","ArtifactLink","ArtifactLink","URL","True","URL","False","Present"
"CRM - Artifacts","VersionLabel","VersionLabel","Text","True","Text","False","Present"
"CRM - Artifacts","EvidenceDate","EvidenceDate","DateTime","True","DateTime","True","Present"
"CRM - Artifacts","ReviewDueDate","ReviewDueDate","DateTime","True","DateTime","True","Present"
"CRM - Artifacts","ApprovedForClientUse","ApprovedForClientUse","Boolean","True","Boolean","True","Present"
"CRM - Artifacts","Notes","Notes","Note","True","Note","False","Present"
"CRM - Artifacts","Owner","ItemOwner","User","True","User","False","Present"
"CRM - Health Reviews","ReviewDate","ReviewDate","DateTime","True","DateTime","True","Present"
"CRM - Health Reviews","NextReviewDate","NextReviewDate","DateTime","True","DateTime","True","Present"
"CRM - Health Reviews","RelationshipHealth","RelationshipHealth","Choice","True","Choice","True","Present"
"CRM - Health Reviews","DeliveryHealth","DeliveryHealth","Choice","True","Choice","True","Present"
"CRM - Health Reviews","CommercialHealth","CommercialHealth","Choice","True","Choice","True","Present"
"CRM - Health Reviews","HealthScore","HealthScore","Number","True","Number","True","Present"
"CRM - Health Reviews","RenewalSignal","RenewalSignal","Choice","True","Choice","False","Present"
"CRM - Health Reviews","ExpansionSignal","ExpansionSignal","Choice","True","Choice","True","Present"
"CRM - Health Reviews","RiskSummary","RiskSummary","Note","True","Note","False","Present"
"CRM - Health Reviews","WinSummary","WinSummary","Note","True","Note","False","Present"
"CRM - Health Reviews","NextAction","NextAction","Note","True","Note","False","Present"
"CRM - Health Reviews","Owner","ItemOwner","User","True","User","False","Present"
