"List","View","Exists","HasQuery","RowLimit","Status"
"CRM - New Signals","New Signal Queue","False","False","","Missing"
"CRM - New Signals","Signals Needing Follow-up","False","False","","Missing"
"CRM - New Signals","Converted / Closed Signals","False","False","","Missing"
"CRM - Action Queue","Open CRM Actions","True","True","100","Present"
"CRM - Action Queue","Due / Overdue Actions","True","True","100","Present"
"CRM - Action Queue","Decision / Go-Live Blockers","True","True","100","Present"
"CRM - Action Queue","Completed Actions","True","True","100","Present"
"CRM - Qualification","Qualification Triage","True","True","100","Present"
"CRM - Qualification","Qualified / Proposal Recommended","True","True","100","Present"
"CRM - Qualification","Nurture / Disqualified","True","True","100","Present"
"CRM - Meeting Notes","Upcoming Meetings","True","True","100","Present"
"CRM - Meeting Notes","Meeting Prep Needed","True","True","100","Present"
"CRM - Meeting Notes","Meeting Debrief Needed","True","True","100","Present"
"CRM - Meeting Notes","Meeting History","True","True","100","Present"
"CRM - Artifacts","Active Artifacts","True","True","100","Present"
"CRM - Artifacts","Proposal / Scope Artifacts","True","True","100","Present"
"CRM - Artifacts","Handoff Evidence","True","True","100","Present"
"CRM - Artifacts","Review Due","True","True","100","Present"
"CRM - Health Reviews","Health Review Queue","True","True","100","Present"
"CRM - Health Reviews","At Risk Health Reviews","True","True","100","Present"
"CRM - Health Reviews","Expansion Signals","True","True","100","Present"
"CRM - Health Reviews","Health Review History","True","True","100","Present"
"CRM - Closeout Invoice Queue","Closeout / Invoice Watch","False","False","","Missing"
"CRM - Closeout Invoice Queue","Ready to Invoice","False","False","","Missing"
"CRM - Closeout Invoice Queue","Payment Follow-up","False","False","","Missing"
"CRM - Closeout Invoice Queue","Closed Out","False","False","","Missing"
